40552   我们应该尽可能保护元首坐舰的安全。尽量避免与敌主力舰队正面接触，这艘名为阿伽门农的战舰性能未知，切勿放松对敌军的警惕！
40553   马坎精锐卫队第一航母战斗群到达预定位置，保持阵型，掩护元首侧翼！
40554   马坎精锐卫队第二航母战斗群到达预定位置，打击宇航器部队准备发射，做好一级战斗准备！
40555   保护指挥站
40556   难以置信，阿伽门农号几乎仅凭一己之力就顶住了敌人主力的强攻，这艘先祖战舰表现出了无比强大的战斗力！
40557   不……
40558   不！我们失去了矿船队！试验任务失败……
40559   注意！探测到数艘驱逐舰在敌人重巡附近跳出！其中包括导弹驱逐舰！战斗机单位立即回撤！……
40560   指挥站！我们已经完全无法阻止敌人了！
40561   收到……我们只能期待援军出现了……
40562   全员做好撤离准备，保护好重要设备、资料以及此次实验数据！
40563   警报！探测到大规模超空间跳跃信号！是泰坦舰队！……一大批泰坦舰队出现在元首左翼！
40564   又探测到同规模超空间跳跃信号！……一大批泰坦舰队出现在元首右翼！元首被包围了！
40565   劳伦斯中将！探测到超空间跳出信号！就在我们旁边！
40566   ……紧急警报！探测到两支小型航母战斗群出现在萨狄斯·沙巴两侧！我们无法抵抗他们！请求支援！
40567   我们完全被包围了！元首三面受敌，但似乎还能坚持，首要任务是保护总指挥站，绝不能让总指挥站被摧毁！
40568   不！猎隼号！来不及了！去保护元首！不要管我们！
40569   这里是维格尔第四航母战斗群，我们收到信号，加速赶来，看来情况比求助信号中说的要严重得多，萨狄斯·沙巴，请务必坚持住。
40570   所有人员，准备战斗！
40571   谢天谢地，你们终于及时赶到了！
40572   协助维格尔第四航母战斗群，消灭包围总指挥站的敌军！让敌人后悔来到这里！
40573   \n保护指挥站的安全。指挥站上有我族的重要资料，绝不能让它被摧毁！
40574   坚持！死守！
40575   \n不惜一切拖住敌人，为指挥站的撤离赢得时间。\n援军应该正在赶来，哪怕希望再小也绝不能放弃！
40576   继续保护指挥站
40577   你还有%1MINUTES%:%2SECONDS%派遣侦察机侦查指定位置
40578	%d 敌人来袭
40579	%d 探测到大量敌军
40580	%d 阿伽门农出现
40581	VFS 猎隼号


rangeend
